Year,Country of origin,Recognized decisions,Rejected decisions,Total decisions,,Country Origin,Sum of selected,Sum of not selected,Sum of Decisions,Percentage
2023,Afghanistan,5,0,5,,Afghanistan,44871,59147,104018,57%
2023,Afghanistan,0,0,5,,Syria,22087,74774,96861,77%
2023,Afghanistan,10,0,10,,Ukraine,4472,14989,19461,77%
2023,Afghanistan,823,32,6361,,Venezuela,41032,71618,112650,64%
2023,Afghanistan,1407,1861,3683,,South Sudan,1874,757,2631,29%
2023,Afghanistan,109,729,945,,,,,,
2023,Afghanistan,0,5,55,,,,,,
2023,Afghanistan,0,0,5,,,,,,
2023,Afghanistan,480,0,563,,,,,,
2023,Afghanistan,0,0,5,,,,,,
2023,Afghanistan,5,129,2923,,,,,,
2023,Afghanistan,0,10,10,,,,,,
2023,Afghanistan,261,11,299,,,,,,
2023,Afghanistan,0,0,5,,,,,,
2023,Afghanistan,17,0,36,,,,,,
2023,Afghanistan,50,17,285,,,,,,
2023,Afghanistan,0,0,30,,,,,,
2023,Afghanistan,30,5,35,,,,,,
2023,Afghanistan,432,5,437,,,,,,
2023,Afghanistan,5,0,5,,,,,,
2023,Afghanistan,95,21,139,,,,,,
2023,Afghanistan,55,13,73,,,,,,
2023,Afghanistan,832,1245,2715,,,,,,
2023,Afghanistan,6276,2877,9518,,,,,,
2023,Afghanistan,14,0,14,,,,,,
2023,Afghanistan,1194,27,1506,,,,,,
2023,Afghanistan,31,5,48,,,,,,
2023,Afghanistan,0,0,10,,,,,,
2023,Afghanistan,7019,133,21972,,,,,,
2023,Afghanistan,186,153,4551,,,,,,
2023,Afghanistan,511,30,2818,,,,,,
2023,Afghanistan,163,43,714,,,,,,
2023,Afghanistan,822,19,2428,,,,,,
2023,Afghanistan,5,0,5,,,,,,
2023,Afghanistan,0,0,270,,,,,,
2023,Afghanistan,5,0,10,,,,,,
2023,Afghanistan,0,0,10,,,,,,
2023,Afghanistan,10,5,25,,,,,,
2023,Afghanistan,430,0,649,,,,,,
2023,Afghanistan,1180,0,2269,,,,,,
2023,Afghanistan,67,0,67,,,,,,
2023,Afghanistan,5,0,5,,,,,,
2023,Afghanistan,189,10,226,,,,,,
2023,Afghanistan,530,63,931,,,,,,
2023,Afghanistan,0,75,119,,,,,,
2023,Afghanistan,18,0,18,,,,,,
2023,Afghanistan,0,60,76,,,,,,
2023,Afghanistan,0,0,5,,,,,,
2023,Afghanistan,5,5,15,,,,,,
2023,Afghanistan,11,0,11,,,,,,
2023,Afghanistan,5,0,10,,,,,,
2023,Afghanistan,55,18,73,,,,,,
2023,Afghanistan,20,0,61,,,,,,
2023,Afghanistan,0,0,24,,,,,,
2023,Afghanistan,0,0,5,,,,,,
2023,Afghanistan,5,0,5,,,,,,
2023,Afghanistan,104,0,104,,,,,,
2023,Afghanistan,280,26,331,,,,,,
2023,Afghanistan,102,5,112,,,,,,
2023,Afghanistan,10,17,47,,,,,,
2023,Afghanistan,58,10,146,,,,,,
2023,Afghanistan,5,0,5,,,,,,
2023,Afghanistan,5,0,5,,,,,,
2023,Afghanistan,1997,0,2104,,,,,,
2023,Afghanistan,15,0,15,,,,,,
2023,Afghanistan,0,5,5,,,,,,
2023,Afghanistan,93,0,244,,,,,,
2023,Afghanistan,113,0,193,,,,,,
2023,Afghanistan,16,38,122,,,,,,
2023,Afghanistan,0,39,44,,,,,,
2023,Afghanistan,0,0,105,,,,,,
2023,Afghanistan,370,0,672,,,,,,
2023,Afghanistan,0,0,13,,,,,,
2023,Afghanistan,574,78,697,,,,,,
2023,Afghanistan,0,5,10,,,,,,
2023,Afghanistan,5,0,25,,,,,,
2023,Afghanistan,0,0,67,,,,,,
2023,Afghanistan,67,325,456,,,,,,
2023,Afghanistan,223,102,458,,,,,,
2023,Afghanistan,293,465,860,,,,,,
2023,Afghanistan,349,24,3944,,,,,,
2023,Afghanistan,10,0,10,,,,,,
2023,Afghanistan,17,0,17,,,,,,
2023,Afghanistan,165,0,228,,,,,,
2023,Afghanistan,2572,2413,11442,,,,,,
2023,Afghanistan,0,24,24,,,,,,
2023,Afghanistan,0,0,20,,,,,,
2023,Afghanistan,22,0,35,,,,,,
2023,Afghanistan,37,14,67,,,,,,
2023,Afghanistan,13997,35,14294,,,,,,
2023,South Sudan,1755,5,2102,,,,,,
2023,South Sudan,0,5,5,,,,,,
2023,South Sudan,0,0,140,,,,,,
2023,South Sudan,0,0,11,,,,,,
2023,South Sudan,44,15,64,,,,,,
2023,South Sudan,23,0,23,,,,,,
2023,South Sudan,0,0,13,,,,,,
2023,South Sudan,0,0,10,,,,,,
2023,South Sudan,0,0,5,,,,,,
2023,South Sudan,0,0,43,,,,,,
2023,South Sudan,0,5,5,,,,,,
2023,South Sudan,12,0,33,,,,,,
2023,South Sudan,10,0,10,,,,,,
2023,South Sudan,0,0,5,,,,,,
2023,South Sudan,5,0,103,,,,,,
2023,South Sudan,0,0,5,,,,,,
2023,South Sudan,5,0,5,,,,,,
2023,South Sudan,0,19,24,,,,,,
2023,South Sudan,0,5,5,,,,,,
2023,South Sudan,5,0,5,,,,,,
2023,South Sudan,5,0,5,,,,,,
2023,South Sudan,5,0,5,,,,,,
2023,South Sudan,5,0,5,,,,,,
2023,Syria,5,0,670,,,,,,
2023,Syria,5,0,5,,,,,,
2023,Syria,12,0,17,,,,,,
2023,Syria,5827,41,9623,,,,,,
2023,Syria,1352,96,1544,,,,,,
2023,Syria,0,27,37,,,,,,
2023,Syria,0,5,18,,,,,,
2023,Syria,0,5,5,,,,,,
2023,Syria,155,0,3777,,,,,,
2023,Syria,0,0,5,,,,,,
2023,Syria,57,92,5927,,,,,,
2023,Syria,12,0,12,,,,,,
2023,Syria,242,5,252,,,,,,
2023,Syria,5,0,5,,,,,,
2023,Syria,5,0,5,,,,,,
2023,Syria,5,0,5,,,,,,
2023,Syria,5,0,298,,,,,,
2023,Syria,0,5,5,,,,,,
2023,Syria,0,5,20,,,,,,
2023,Syria,5,0,5,,,,,,
2023,Syria,53,5,88,,,,,,
