Origin,Asylum,Applied
Afghanistan,Germany,27310
Afghanistan,Pakistan,12686
Afghanistan,United States,11573
Afghanistan,France,9490
Afghanistan,Turkey,7962
South Sudan,Egypt,3053
South Sudan,Dem. Rep. of the Congo,270
South Sudan,Libya,164
South Sudan,France,96
South Sudan,United Kingdom,74
Syria,Germany,43532
Syria,Austria,6502
Syria,Bulgaria,4001
Syria,Netherlands (Kingdom of the),3933
Syria,Libya,2687
Ukraine,United State,3478
Ukraine,Russian Federation,3357
Ukraine,Estonia,2537
Ukraine,Rep. of Moldova,2018
Ukraine,France,936
Venezuela,United States,61995
Venezuela,Spain,32848
Venezuela,Brazil,13291
Venezuela,Colombia,5613
Venezuela,Mexico,3511
